BFY,FundCode,FundName,OrgCode,OrgName,AccountCode,ProgramProjectCode,ProgramProjectName,BocCode,BocName,Authority,OpenCommitments,Obligations,Used,Available,ULO,ProgramArea
2020,T,SUPERFUND,06,REGION 6,000DC6,C6,SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,36,EXPENSES,45000,0,35259.78,35259.78,9740.22,28441,SUPERFUND CLEANUP
2020,B,EPM,06,REGION 6,000A45,45,CLEAN AIR ALLOWANCE TRADING PROGRAMS,21,TRAVEL,42286.91,0,42388,42388,-101.09,26000,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000A45,45,CLEAN AIR ALLOWANCE TRADING PROGRAMS,38,WCF,24713.09,0,9000,9000,15713.09,1622.84,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000A46,46,CLIMATE PROTECTION PROGRAM,37,CONTRACTS,40635.79,0,12000,12000,28635.79,12000,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000A46,46,CLIMATE PROTECTION PROGRAM,38,WCF,390568.42,0,248000,248000,142568.42,0.01,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000E50,50,COMPLIANCE MONITORING,38,WCF,318010.86,0,317999.9,317999.9,10.96,0.01,COMPLIANCE
2020,B,EPM,06,REGION 6,000F52,52,CRIMINAL ENFORCEMENT,37,CONTRACTS,3900,0,4000,4000,-100,1238.88,ENFORCEMENT
2020,B,EPM,06,REGION 6,000AH5,H5,REDUCE RISKS FROM INDOOR AIR,37,CONTRACTS,4000,0,600,600,3400,600,INDOOR AIR AND RADIATION
2020,B,EPM,06,REGION 6,000CD8,D8,TRI / RIGHT TO KNOW,38,WCF,49475,0,6000,6000,43475,961,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000D86,86,LUST / UST,36,EXPENSES,2000,0,1900,1900,100,843,UNDERGROUND STORAGE TANKS (LUST / UST)
2020,B,EPM,06,REGION 6,000YF2 03,F2,FACILITIES INFRASTRUCTURE AND OPERATIONS,37,CONTRACTS,57000,0,4115.58,4115.58,52884.42,4061.58,OPERATIONS AND ADMINISTRATION
2020,B,EPM,06,REGION 6,000CJ1,J1,PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,38,WCF,12500.77,0,11000,11000,1500.77,216.38,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000CJ2,J2,PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,38,WCF,12500,0,11000,11000,1500,585.02,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000D99,99,RCRA:  CORRECTIVE ACTION,38,WCF,133941.65,0,122000,122000,11941.65,32.18,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA1,A1,RCRA:  WASTE MANAGEMENT,10,PAYROLL,3160000,0,3211667.48,3211667.48,-51667.48,152.9,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA2,A2,RCRA:  WASTE MINIMIZATION & RECYCLING,36,EXPENSES,1648,0,1647.17,1647.17,0.83,850,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000B89,89,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,38,WCF,14018.56,0,14000,14000,18.56,2812.92,WATER:  ECOSYSTEMS
2020,F,LUST,06,REGION 6,000E44,44,CIVIL ENFORCEMENT,10,PAYROLL,48000,0,46761.17,46761.17,1238.83,0,ENFORCEMENT
2020,H,OIL SPILL,06,REGION 6,000E44,44,CIVIL ENFORCEMENT,10,PAYROLL,160000,0,159318.43,159318.43,681.57,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EC7,C7,SUPERFUND:  ENFORCEMENT,10,PAYROLL,6794000,0,6785863.15,6785863.15,8136.85,0,ENFORCEMENT
2020,TR2A,SF FED,06,REGION 6,000EC7,C7,SUPERFUND:  ENFORCEMENT,10,PAYROLL,82189.96,0,82412.92,82412.92,-222.96,0,ENFORCEMENT
2020,TR2B,SF PAST COST,06,REGION 6,000EC7,C7,SUPERFUND:  ENFORCEMENT,10,PAYROLL,207110.94,0,212841.85,212841.85,-5730.91,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EC7,C7,SUPERFUND:  ENFORCEMENT,28,SITE TRAVEL,5898.5,0,0,0,5898.5,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EC7,C7,SUPERFUND:  ENFORCEMENT,38,WCF,220603.42,0,211000,211000,9603.42,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000JC7,C7,SUPERFUND:  ENFORCEMENT,10,PAYROLL,690000,0,680900.99,680900.99,9099.01,0,ENFORCEMENT
2020,TR2B,SF PAST COST,06,REGION 6,000JC7,C7,SUPERFUND:  ENFORCEMENT,10,PAYROLL,17954.64,0,18179.57,18179.57,-224.93,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000JC7,C7,SUPERFUND:  ENFORCEMENT,41,GRANTS,600,0,0,0,600,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EH2,H2,SUPERFUND: FEDERAL FACILITIES ENFORCEMENT,10,PAYROLL,117000,0,113855.06,113855.06,3144.94,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EH2,H2,SUPERFUND: FEDERAL FACILITIES ENFORCEMENT,36,EXPENSES,1000,0,0,0,1000,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000EH2,H2,SUPERFUND: FEDERAL FACILITIES ENFORCEMENT,38,WCF,8418.4,0,5000,5000,3418.4,0,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000D72,72,"HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",10,PAYROLL,558000,0,533050.47,533050.47,24949.53,0,HOMELAND SECURITY
2020,T,SUPERFUND,06,REGION 6,000D72,72,"HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",37,CONTRACTS,1000,0,0,0,1000,0,HOMELAND SECURITY
